TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID
1853231	family	2_976_200643_171549_1853231	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Odoribacteraceae	0	NA
171550	family	2_976_200643_171549_171550	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae	0.059	NA
171551	family	2_976_200643_171549_171551	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae	1.6903	NA
171552	family	2_976_200643_171549_171552	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae	8.2154	NA
191394	family	2_200930_68337_191393_191394	Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae	0	NA
1843491	family	2_1239_909932_909929_1843491	Bacteria_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae	0	NA
1471398	family	2_976_200643_1970189_1471398	Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Prolixibacteraceae	0	NA
2092	family	2_544448_31969_2085_2092	Bacteria_Tenericutes_Mollicutes_Mycoplasmatales_Mycoplasmataceae	0	NA
815	family	2_976_200643_171549_815	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae	14.6226	NA
1643824	family	2_201174_84998_84999_1643824	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Atopobiaceae	0	NA
1643826	family	2_201174_84998_1643822_1643826	Bacteria_Actinobacteria_Coriobacteriia_Eggerthellales_Eggerthellaceae	0.1769	NA
186803	family	2_1239_186801_186802_186803	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae	14.7013	NA
186804	family	2_1239_186801_186802_186804	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae	0	NA
186806	family	2_1239_186801_186802_186806	Bacteria_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae	0	NA
186807	family	2_1239_186801_186802_186807	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptococcaceae	0	NA
543	family	2_1224_1236_91347_543	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae	0	NA
128827	family	2_1239_526524_526525_128827	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae	0	NA
81852	family	2_1239_91061_186826_81852	Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae	0.2358	NA
1491775	family	2_1239_186801_186802_1491775	Bacteria_Firmicutes_Clostridia_Clostridiales_Proteinivoraceae	0	NA
186827	family	2_1239_91061_186826_186827	Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae	0	NA
541000	family	2_1239_186801_186802_541000	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae	0	NA
995019	family	2_1224_28216_80840_995019	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae	0	NA
186828	family	2_1239_91061_186826_186828	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae	0.0197	NA
41294	family	2_1224_28211_356_41294	Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae	0.0197	NA
41295	family	2_1224_28211_204441_41295	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae	1.6509	NA
41297	family	2_1224_28211_204457_41297	Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae	0	NA
543314	family	2_1239_186801_186802_543314	Bacteria_Firmicutes_Clostridia_Clostridiales_ClostridialesFamilyXIII_IncertaeSedis	0	NA
72275	family	2_1224_1236_135622_72275	Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae	0	NA
90964	family	2_1239_91061_1385_90964	Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae	0	NA
990719	family	2_1239_186801_186802_990719	Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae	0	NA
558415	family	2_976_200643_1970189_558415	Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae	0	NA
72293	family	2_1224_29547_213849_72293	Bacteria_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae	0	NA
80864	family	2_1224_28216_80840_80864	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae	0	NA
33958	family	2_1239_91061_186826_33958	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae	1.9654	NA
543313	family	2_1239_186801_186802_543313	Bacteria_Firmicutes_Clostridia_Clostridiales_ClostridialesFamilyXII_IncertaeSedis	0	NA
213116	family	2_1224_28221_213115_213116	Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfomicrobiaceae	0	NA
31979	family	2_1239_186801_186802_31979	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae	0	NA
194924	family	2_1224_28221_213115_194924	Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae	0.7469	NA
1647988	family	2_74201_203494_48461_1647988	Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae	53.3412	NA
1769717	family	2_200918_188708_1769716_1769717	Bacteria_Thermotogae_Thermotogae_Mesoaciditogales_Mesoaciditogaceae	0	NA
31977	family	2_1239_909932_1843489_31977	Bacteria_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae	0	NA
563835	family	2_976_1853228_1853229_563835	Bacteria_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae	0.0197	NA
216572	family	2_1239_186801_186802_216572	Bacteria_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae	0	NA
1185407	family	2_1239_186801_186802_1185407	Bacteria_Firmicutes_Clostridia_Clostridiales_Defluviitaleaceae	0	NA
1254401	genus	2_976_200643_1970189_1471398_1254401	Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Prolixibacteraceae_Sunxiuqinia	0	NA
1784836	genus	2_976_200643_171549_171551_1784836	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Fermentimonas	0	NA
1926663	genus	2_1239_186801_186802_541000_1926663	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Phocea	0	NA
459786	genus	2_1239_186801_186802_216572_459786	Bacteria_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter	0	NA
1279	genus	2_1239_91061_1385_90964_1279	Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus	0	NA
1911312	genus	2_976_200643_171549_171551_1911312	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Gabonibacter	0	NA
100883	genus	2_1239_526524_526525_128827_100883	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	0	NA
1973274	genus	2_1239_186801_186802_186803_1973274	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Niameybacter	0	NA
544	genus	2_1224_1236_91347_543_544	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Citrobacter	0	NA
1870884	genus	2_1239_186801_186802_186804_1870884	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridioides	0	NA
241189	genus	2_1239_186801_186802_186803_241189	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Hespellia	0	NA
397864	genus	2_976_200643_171549_2005519_397864	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella	0.0786	NA
1578	genus	2_1239_91061_186826_33958_1578	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus	1.9654	NA
46123	genus	2_1239_91061_186826_186827_46123	Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia	0	NA
561	genus	2_1224_1236_91347_543_561	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia	0	NA
946234	genus	2_1239_186801_186802_946234	Bacteria_Firmicutes_Clostridia_Clostridiales_Flavonifractor	0	NA
1843210	genus	2_1239_186801_186802_186803_1843210	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerocolumna	0	NA
99906	genus	2_1239_91061_186826_186828_99906	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Alkalibacterium	0.0197	NA
33870	genus	2_201174_84998_84999_84107_33870	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Coriobacterium	0	NA
2129	genus	2_544448_31969_2085_2092_2129	Bacteria_Tenericutes_Mollicutes_Mycoplasmatales_Mycoplasmataceae_Ureaplasma	0	NA
1164882	genus	2_1239_186801_186802_186803_1164882	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoanaerobaculum	0	NA
166484	genus	2_1239_186801_186802_31979_166484	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Caminicella	0	NA
572511	genus	2_1239_186801_186802_186803_572511	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia	0.4717	NA
1926672	genus	2_976_200643_171549_171552_1926672	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellamassilia	0	NA
204475	genus	2_1239_186801_186802_541000_204475	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Gemmiger	0	NA
1647	genus	2_1239_526524_526525_128827_1647	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Erysipelothrix	0	NA
12916	genus	2_1224_28216_80840_80864_12916	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Acidovorax	0	NA
1407607	genus	2_1239_186801_186802_186803_1407607	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Fusicatenibacter	0	NA
46205	genus	2_1239_186801_186802_186803_46205	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio	0.0197	NA
1185408	genus	2_1239_186801_186802_1185407_1185408	Bacteria_Firmicutes_Clostridia_Clostridiales_Defluviitaleaceae_Defluviitalea	0	NA
2048137	genus	2_1239_186801_186802_541000_2048137	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Agathobaculum	0	NA
239759	genus	2_976_200643_171549_171550_239759	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes	0.059	NA
292632	genus	2_1239_186801_186802_541000_292632	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Subdoligranulum	0	NA
390805	genus	2_1239_186801_186802_31979_390805	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Geosporobacter	0	NA
191769	genus	2_1239_91061_186826_186828_191769	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Marinilactibacillus	0	NA
1573534	genus	2_1239_526524_526525_128827_1573534	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Faecalitalea	0	NA
1573535	genus	2_1239_526524_526525_128827_1573535	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Holdemanella	0	NA
249523	genus	2_1224_1236_135622_72275_249523	Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Aestuariibacter	0	NA
2740	genus	2_1239_186801_186802_186807_2740	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Peptococcus	0	NA
1473205	genus	2_201174_84998_84999_84107_1473205	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Senegalimassilia	0	NA
174708	genus	2_1239_526524_526525_128827_174708	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Allobaculum	0	NA
2747	genus	2_1239_91061_186826_186828_2747	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Carnobacterium	0	NA
191	genus	2_1224_28211_204441_41295_191	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Azospirillum	1.2372	NA
283168	genus	2_976_200643_171549_1853231_283168	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Odoribacteraceae_Odoribacter	0	NA
1730	genus	2_1239_186801_186802_186806_1730	Bacteria_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium	0	NA
596767	genus	2_1239_186801_186802_541000_596767	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Hydrogenoanaerobacterium	0	NA
44748	genus	2_1239_186801_186802_541000_44748	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Sporobacter	0	NA
209	genus	2_1224_29547_213849_72293_209	Bacteria_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter	0	NA
102106	genus	2_201174_84998_84999_84107_102106	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella	0	NA
390876	genus	2_1224_28211_204441_41295_390876	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Nisaea	0.4127	NA
1855714	genus	2_1239_186801_186802_186803_1855714	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerobium	0	NA
1253	genus	2_1239_91061_186826_33958_1253	Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus	0	NA
248038	genus	2_200930_68337_191393_191394_248038	Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Mucispirillum	0	NA
1257	genus	2_1239_186801_186802_186804_1257	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptostreptococcus	0	NA
41707	genus	2_1224_28221_213115_194924_41707	Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Lawsonia	0	NA
31980	genus	2_1239_186801_186802_186803_31980	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Acetitomaculum	0	NA
1263	genus	2_1239_186801_186802_541000_1263	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus	0	NA
1283313	genus	2_976_200643_171549_171552_1283313	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella	0	NA
61170	genus	2_1239_526524_526525_128827_61170	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Holdemania	0	NA
265975	genus	2_1239_186801_186802_186803_265975	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Oribacterium	0	NA
1506553	genus	2_1239_186801_186802_186803_1506553	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium	0	NA
142587	genus	2_1239_91061_186826_186828_142587	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Isobaculum	0	NA
1501226	genus	2_1239_186801_186802_186804_1501226	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Romboutsia	0	NA
1913599	genus	2_1239_186801_186802_186804_1913599	Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Peptoanaerobacter	0	NA
437506	genus	2_1224_28211_204455_69657_437506	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Robiginitomaculum	0	NA
1392389	genus	2_1239_186801_186802_1392389	Bacteria_Firmicutes_Clostridia_Clostridiales_Intestinimonas	0	NA
109326	genus	2_1239_186801_186802_543314_109326	Bacteria_Firmicutes_Clostridia_Clostridiales_ClostridialesFamilyXIII_IncertaeSedis_Anaerovorax	0	NA
1506577	genus	2_1239_186801_186802_186803_1506577	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Tyzzerella	0	NA
33042	genus	2_1239_186801_186802_186803_33042	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus	0	NA
216851	genus	2_1239_186801_186802_541000_216851	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium	0	NA
990721	genus	2_1239_186801_186802_990719_990721	Bacteria_Firmicutes_Clostridia_Clostridiales_Christensenellaceae_Christensenella	0	NA
1301	genus	2_1239_91061_186826_1300_1301	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus	0	NA
1213720	genus	2_1239_186801_186802_186803_1213720	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum	0	NA
1980697	genus	2_1224_28216_80840_995019_1980697	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae_Duodenibacillus	0	NA
1923867	genus	2_976_200643_171549_171551_1923867	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Gabonia	0	NA
577309	genus	2_976_200643_171549_171552_577309	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella	0	NA
577310	genus	2_1224_28216_80840_995019_577310	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae_Parasutterella	0	NA
1940255	genus	2_1239_186801_186802_541000_1940255	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Fournierella	0	NA
264995	genus	2_1239_186801_186802_186806_264995	Bacteria_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Anaerofustis	0	NA
133925	genus	2_201174_84998_84999_1643824_133925	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Atopobiaceae_Olsenella	0	NA
415014	genus	2_1239_186801_186802_415014	Bacteria_Firmicutes_Clostridia_Clostridiales_Proteiniborus	0	NA
1348911	genus	2_976_200643_171549_2005519_1348911	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter	0	NA
816	genus	2_976_200643_171549_815_816	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	14.6226	NA
1508657	genus	2_1239_186801_186802_541000_1508657	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminiclostridium	0	NA
1649459	genus	2_1239_186801_186802_31979_1649459	Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Hungatella	0	NA
253238	genus	2_1239_186801_186802_541000_253238	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ethanoligenens	0	NA
117563	genus	2_1239_91061_186826_186828_117563	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Granulicatella	0	NA
830	genus	2_1239_186801_186802_186803_830	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio	0.0371	NA
165696	genus	2_1224_28211_204457_41297_165696	Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium	0	NA
836	genus	2_976_200643_171549_171551_836	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas	1.6116	NA
838	genus	2_976_200643_171549_171552_838	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella	8.2154	NA
69959	genus	2_1224_28211_204441_41295_69959	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Rhodospira	0.001	NA
1935176	genus	2_1239_186801_186802_541000_1935176	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Angelakisella	0	NA
841	genus	2_1239_186801_186802_186803_841	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia	0	NA
1357	genus	2_1239_91061_186826_1300_1357	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus	0.0393	NA
100175	genus	2_1239_186801_186802_541000_100175	Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Papillibacter	0	NA
140625	genus	2_1239_186801_186802_186803_140625	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium	0	NA
1929045	genus	2_1239_526524_526525_128827_1929045	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Traorella	0	NA
909656	genus	2_976_200643_171549_909656	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Phocaeicola	0	NA
1729679	genus	2_1239_526524_526525_128827_1729679	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Faecalibaculum	0	NA
1663717	genus	2_1239_186801_186802_186803_1663717	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Herbinix	0	NA
174951	genus	2_1224_28216_80840_80864_174951	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Ramlibacter	0	NA
872	genus	2_1224_28221_213115_194924_872	Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio	0.7469	NA
1193324	genus	2_976_200643_1970189_558415_1193324	Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales_Marinilabiliaceae_Alkalitalea	0	NA
189330	genus	2_1239_186801_186802_186803_189330	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea	0	NA
195950	genus	2_976_200643_171549_2005525_195950	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Tannerella	0.0983	NA
82802	genus	2_1239_91061_186826_186828_82802	Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Trichococcus	0	NA
653683	genus	2_1239_186801_186802_186803_653683	Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerosporobacter	0	NA
